Input String,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_3 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon,
SHIFT,expr expr expr identifier,arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
SHIFT,expr expr expr identifier arith_assign,cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr identifier arith_assign comet_literal <- cmt_4                          ,,
SHIFT,expr expr expr identifier arith_assign comet_literal,sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr assignStmt <- identifier arith_assign comet_literal sep_semicolon                         ,,
REDUCE TO expr expr expr expr <- assignStmt                            ,,
SHIFT,expr expr expr expr,id_var2 arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr expr identifier <- id_var2                           ,,
SHIFT,expr expr expr expr identifier,arith_assign cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
SHIFT,expr expr expr expr identifier arith_assign,cmt_5 sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr expr identifier arith_assign comet_literal <- cmt_5                         ,,
SHIFT,expr expr expr expr identifier arith_assign comet_literal,sep_semicolon id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr expr assignStmt <- identifier arith_assign comet_literal sep_semicolon                        ,,
REDUCE TO expr expr expr expr expr <- assignStmt                           ,,
SHIFT,expr expr expr expr expr,id_var3 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr expr expr identifier <- id_var3                          ,,
SHIFT,expr expr expr expr expr identifier,arith_assign cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
SHIFT,expr expr expr expr expr identifier arith_assign,cmt_5 sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr expr expr identifier arith_assign comet_literal <- cmt_5                        ,,
SHIFT,expr expr expr expr expr identifier arith_assign comet_literal,sep_semicolon transmission_token sep_op_par "end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr expr expr assignStmt <- identifier arith_assign comet_literal sep_semicolon                       ,,
REDUCE TO expr expr expr expr expr expr <- assignStmt                          ,,
SHIFT,expr expr expr expr expr expr,transmission_token sep_op_par "end" sep_cl_par sep_semicolon
SHIFT,expr expr expr expr expr expr transmission_token,sep_op_par "end" sep_cl_par sep_semicolon
SHIFT,expr expr expr expr expr expr transmission_token sep_op_par,"end" sep_cl_par sep_semicolon
REDUCE TO expr expr expr expr expr expr transmission_token sep_op_par string <- "end"                       ,,
SHIFT,expr expr expr expr expr expr transmission_token sep_op_par string,sep_cl_par sep_semicolon
SHIFT,expr expr expr expr expr expr transmission_token sep_op_par string sep_cl_par,
REDUCE TO expr expr expr expr expr expr transmissionStmt <- transmission_token sep_op_par string sep_cl_par sep_semicolon                     ,,
REDUCE TO expr expr expr expr expr expr expr <- transmissionStmt                         ,,
ACCEPT,,
