Input String,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon,
SHIFT,decStmt comet_token identifier arith_assign,id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt comet_token identifier arith_assign identifier <- id_var2                                                 ,,
SHIFT,decStmt comet_token identifier arith_assign identifier,sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt <- comet_token identifier arith_assign identifier sep_semicolon                                                ,,
SHIFT,decStmt decStmt,comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt comet_token,id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt comet_token identifier <- id_var3                                                  ,,
SHIFT,decStmt decStmt comet_token identifier,arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt comet_token identifier arith_assign,cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt comet_token identifier arith_assign comet_literal <- cmt_6                                                ,,
SHIFT,decStmt decStmt comet_token identifier arith_assign comet_literal,sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt <- comet_token identifier arith_assign comet_literal sep_semicolon                                               ,,
SHIFT,decStmt decStmt decStmt,id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt identifier <- id_var1                                                  ,,
SHIFT,decStmt decStmt decStmt identifier,arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt identifier arith_assign,cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt identifier arith_assign comet_literal <- cmt_4                                                ,,
SHIFT,decStmt decStmt decStmt identifier arith_assign comet_literal,sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt assignStmt <- identifier arith_assign comet_literal sep_semicolon                                               ,,
REDUCE TO decStmt decStmt decStmt expr <- assignStmt                                                  ,,
SHIFT,decStmt decStmt decStmt expr,id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr identifier <- id_var2                                                 ,,
SHIFT,decStmt decStmt decStmt expr identifier,arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr identifier arith_assign,cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr identifier arith_assign comet_literal <- cmt_5                                               ,,
SHIFT,decStmt decStmt decStmt expr identifier arith_assign comet_literal,sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr assignStmt <- identifier arith_assign comet_literal sep_semicolon                                              ,,
REDUCE TO decStmt decStmt decStmt expr expr <- assignStmt                                                 ,,
SHIFT,decStmt decStmt decStmt expr expr,transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr transmission_token,sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr transmission_token sep_op_par,id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr transmission_token sep_op_par identifier <- id_var2                                              ,,
SHIFT,decStmt decStmt decStmt expr expr transmission_token sep_op_par identifier,sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr transmission_token sep_op_par identifier sep_cl_par,sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
